key_id,goal_id,tournament_id,tournament_name,match_id,match_name,match_date,stage_name,group_name,team_id,team_name,team_code,home_team,away_team,player_id,family_name,given_name,shirt_number,player_team_id,player_team_name,player_team_code,minute_label,minute_regulation,minute_stoppage,match_period,own_goal,penalty
17,G-0017,WC-1930,1930 FIFA World Cup,M-1930-06,Chile v Mexico,1930-07-16,group stage,Group 1,T-13,Chile,CHL,1,0,P-09271,Vidal,Carlos,0,T-13,Chile,CHL,3',3,0,first half,0,0
18,G-0018,WC-1930,1930 FIFA World Cup,M-1930-06,Chile v Mexico,1930-07-16,group stage,Group 1,T-13,Chile,CHL,1,0,P-02991,Rosas,Manuel,0,T-44,Mexico,MEX,52',52,0,second half,1,0
19,G-0019,WC-1930,1930 FIFA World Cup,M-1930-06,Chile v Mexico,1930-07-16,group stage,Group 1,T-13,Chile,CHL,1,0,P-09271,Vidal,Carlos,0,T-13,Chile,CHL,65',65,0,second half,0,0
28,G-0028,WC-1930,1930 FIFA World Cup,M-1930-10,Chile v France,1930-07-19,group stage,Group 1,T-13,Chile,CHL,1,0,P-02231,Subiabre,Guillermo,0,T-13,Chile,CHL,67',67,0,second half,0,0
49,G-0049,WC-1930,1930 FIFA World Cup,M-1930-15,Argentina v Chile,1930-07-22,group stage,Group 1,T-13,Chile,CHL,0,1,P-02231,Subiabre,Guillermo,0,T-13,Chile,CHL,15',15,0,first half,0,0
261,G-0261,WC-1950,1950 FIFA World Cup,M-1950-12,Chile v United States,1950-07-02,group stage,Group 2,T-13,Chile,CHL,1,0,P-09632,Robledo,George,0,T-13,Chile,CHL,16',16,0,first half,0,0
262,G-0262,WC-1950,1950 FIFA World Cup,M-1950-12,Chile v United States,1950-07-02,group stage,Group 2,T-13,Chile,CHL,1,0,P-03082,Cremaschi,Atilio,0,T-13,Chile,CHL,32',32,0,first half,0,0
265,G-0265,WC-1950,1950 FIFA World Cup,M-1950-12,Chile v United States,1950-07-02,group stage,Group 2,T-13,Chile,CHL,1,0,P-07307,Prieto,Andrés,0,T-13,Chile,CHL,54',54,0,second half,0,0
266,G-0266,WC-1950,1950 FIFA World Cup,M-1950-12,Chile v United States,1950-07-02,group stage,Group 2,T-13,Chile,CHL,1,0,P-03082,Cremaschi,Atilio,0,T-13,Chile,CHL,60',60,0,second half,0,0
267,G-0267,WC-1950,1950 FIFA World Cup,M-1950-12,Chile v United States,1950-07-02,group stage,Group 2,T-13,Chile,CHL,1,0,P-04368,Riera,Fernando,0,T-13,Chile,CHL,82',82,0,second half,0,0
583,G-0583,WC-1962,1962 FIFA World Cup,M-1962-02,Chile v Switzerland,1962-05-30,group stage,Group 2,T-13,Chile,CHL,1,0,P-03057,Sánchez,Leonel,0,T-13,Chile,CHL,44',44,0,first half,0,0
584,G-0584,WC-1962,1962 FIFA World Cup,M-1962-02,Chile v Switzerland,1962-05-30,group stage,Group 2,T-13,Chile,CHL,1,0,P-03180,Ramírez,Jaime,0,T-13,Chile,CHL,51',51,0,second half,0,0
585,G-0585,WC-1962,1962 FIFA World Cup,M-1962-02,Chile v Switzerland,1962-05-30,group stage,Group 2,T-13,Chile,CHL,1,0,P-03057,Sánchez,Leonel,0,T-13,Chile,CHL,55',55,0,second half,0,0
599,G-0599,WC-1962,1962 FIFA World Cup,M-1962-10,Chile v Italy,1962-06-02,group stage,Group 2,T-13,Chile,CHL,1,0,P-03180,Ramírez,Jaime,0,T-13,Chile,CHL,73',73,0,second half,0,0
600,G-0600,WC-1962,1962 FIFA World Cup,M-1962-10,Chile v Italy,1962-06-02,group stage,Group 2,T-13,Chile,CHL,1,0,P-05832,Toro,Jorge,0,T-13,Chile,CHL,87',87,0,second half,0,0
648,G-0648,WC-1962,1962 FIFA World Cup,M-1962-26,Chile v Soviet Union,1962-06-10,quarter-finals,not applicable,T-13,Chile,CHL,1,0,P-03057,Sánchez,Leonel,0,T-13,Chile,CHL,11',11,0,first half,0,0
