key_id,goal_id,tournament_id,tournament_name,match_id,match_name,match_date,stage_name,group_name,team_id,team_name,team_code,home_team,away_team,player_id,family_name,given_name,shirt_number,player_team_id,player_team_name,player_team_code,minute_label,minute_regulation,minute_stoppage,match_period,own_goal,penalty
47,G-0047,WC-1930,1930 FIFA World Cup,M-1930-15,Argentina v Chile,1930-07-22,group stage,Group 1,T-03,Argentina,ARG,1,0,P-01708,Stábile,Guillermo,0,T-03,Argentina,ARG,12',12,0,first half,0,0
48,G-0048,WC-1930,1930 FIFA World Cup,M-1930-15,Argentina v Chile,1930-07-22,group stage,Group 1,T-03,Argentina,ARG,1,0,P-01708,Stábile,Guillermo,0,T-03,Argentina,ARG,13',13,0,first half,0,0
50,G-0050,WC-1930,1930 FIFA World Cup,M-1930-15,Argentina v Chile,1930-07-22,group stage,Group 1,T-03,Argentina,ARG,1,0,P-03577,Evaristo,Mario,0,T-03,Argentina,ARG,51',51,0,second half,0,0
232,G-0232,WC-1950,1950 FIFA World Cup,M-1950-03,England v Chile,1950-06-25,group stage,Group 2,T-27,England,ENG,1,0,P-04701,Mortensen,Stan,0,T-27,England,ENG,39',39,0,first half,0,0
233,G-0233,WC-1950,1950 FIFA World Cup,M-1950-03,England v Chile,1950-06-25,group stage,Group 2,T-27,England,ENG,1,0,P-03959,Mannion,Wilf,0,T-27,England,ENG,51',51,0,second half,0,0
252,G-0252,WC-1950,1950 FIFA World Cup,M-1950-08,Spain v Chile,1950-06-29,group stage,Group 2,T-71,Spain,ESP,1,0,P-05910,Basora,Estanislau,0,T-71,Spain,ESP,17',17,0,first half,0,0
253,G-0253,WC-1950,1950 FIFA World Cup,M-1950-08,Spain v Chile,1950-06-29,group stage,Group 2,T-71,Spain,ESP,1,0,P-02813,Zarra,Telmo,0,T-71,Spain,ESP,30',30,0,first half,0,0
263,G-0263,WC-1950,1950 FIFA World Cup,M-1950-12,Chile v United States,1950-07-02,group stage,Group 2,T-80,United States,USA,0,1,P-02433,Wallace,Frank,0,T-80,United States,USA,47',47,0,second half,0,0
264,G-0264,WC-1950,1950 FIFA World Cup,M-1950-12,Chile v United States,1950-07-02,group stage,Group 2,T-80,United States,USA,0,1,P-03061,Maca,Joe,0,T-80,United States,USA,48',48,0,second half,0,1
582,G-0582,WC-1962,1962 FIFA World Cup,M-1962-02,Chile v Switzerland,1962-05-30,group stage,Group 2,T-73,Switzerland,CHE,0,1,P-02325,Wüthrich,Rolf,0,T-73,Switzerland,CHE,6',6,0,first half,0,0
627,G-0627,WC-1962,1962 FIFA World Cup,M-1962-18,West Germany v Chile,1962-06-06,group stage,Group 2,T-83,West Germany,DEU,1,0,P-03744,Szymaniak,Horst,0,T-83,West Germany,DEU,21',21,0,first half,0,1
628,G-0628,WC-1962,1962 FIFA World Cup,M-1962-18,West Germany v Chile,1962-06-06,group stage,Group 2,T-83,West Germany,DEU,1,0,P-02871,Seeler,Uwe,0,T-83,West Germany,DEU,82',82,0,second half,0,0
