key_id,tournament_id,tournament_name,match_id,match_name,stage_name,group_name,group_stage,knockout_stage,replayed,replay,match_date,match_time,stadium_id,stadium_name,city_name,country_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,score,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,extra_time,penalty_shootout,score_penalties,home_team_score_penalties,away_team_score_penalties,result,home_team_win,away_team_win,draw
6,WC-1930,1930 FIFA World Cup,M-1930-06,Chile v Mexico,group stage,Group 1,1,0,0,0,1930-07-16,14:45,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-13,Chile,CHL,T-44,Mexico,MEX,3–0,3,0,3,-3,0,0,0-0,0,0,home team win,1,0,0
10,WC-1930,1930 FIFA World Cup,M-1930-10,Chile v France,group stage,Group 1,1,0,0,0,1930-07-19,12:50,S-191,Estadio Centenario,Montevideo,Uruguay,T-13,Chile,CHL,T-28,France,FRA,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0
15,WC-1930,1930 FIFA World Cup,M-1930-15,Argentina v Chile,group stage,Group 1,1,0,0,0,1930-07-22,14:45,S-191,Estadio Centenario,Montevideo,Uruguay,T-03,Argentina,ARG,T-13,Chile,CHL,3–1,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0
56,WC-1950,1950 FIFA World Cup,M-1950-03,England v Chile,group stage,Group 2,1,0,0,0,1950-06-25,15:00,S-020,Estádio do Maracanã,Rio de Janeiro,Brazil,T-27,England,ENG,T-13,Chile,CHL,2–0,2,0,2,-2,0,0,0-0,0,0,home team win,1,0,0
61,WC-1950,1950 FIFA World Cup,M-1950-08,Spain v Chile,group stage,Group 2,1,0,0,0,1950-06-29,15:00,S-020,Estádio do Maracanã,Rio de Janeiro,Brazil,T-71,Spain,ESP,T-13,Chile,CHL,2–0,2,0,2,-2,0,0,0-0,0,0,home team win,1,0,0
65,WC-1950,1950 FIFA World Cup,M-1950-12,Chile v United States,group stage,Group 2,1,0,0,0,1950-07-02,15:00,S-019,Estádio Ilha do Retiro,Recife,Brazil,T-13,Chile,CHL,T-80,United States,USA,5–2,5,2,3,-3,0,0,0-0,0,0,home team win,1,0,0
138,WC-1962,1962 FIFA World Cup,M-1962-02,Chile v Switzerland,group stage,Group 2,1,0,0,0,1962-05-30,15:00,S-026,Estadio Nacional,Santiago,Chile,T-13,Chile,CHL,T-73,Switzerland,CHE,3–1,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0
146,WC-1962,1962 FIFA World Cup,M-1962-10,Chile v Italy,group stage,Group 2,1,0,0,0,1962-06-02,15:00,S-026,Estadio Nacional,Santiago,Chile,T-13,Chile,CHL,T-39,Italy,ITA,2–0,2,0,2,-2,0,0,0-0,0,0,home team win,1,0,0
154,WC-1962,1962 FIFA World Cup,M-1962-18,West Germany v Chile,group stage,Group 2,1,0,0,0,1962-06-06,15:00,S-026,Estadio Nacional,Santiago,Chile,T-83,West Germany,DEU,T-13,Chile,CHL,2–0,2,0,2,-2,0,0,0-0,0,0,home team win,1,0,0
162,WC-1962,1962 FIFA World Cup,M-1962-26,Chile v Soviet Union,quarter-finals,not applicable,0,1,0,0,1962-06-10,14:30,S-024,Estadio Carlos Dittborn,Arica,Chile,T-13,Chile,CHL,T-70,Soviet Union,SUN,2–1,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0
165,WC-1962,1962 FIFA World Cup,M-1962-29,Brazil v Chile,semi-finals,not applicable,0,1,0,0,1962-06-13,14:30,S-026,Estadio Nacional,Santiago,Chile,T-09,Brazil,BRA,T-13,Chile,CHL,4–2,4,2,2,-2,0,0,0-0,0,0,home team win,1,0,0
167,WC-1962,1962 FIFA World Cup,M-1962-31,Chile v Yugoslavia,third-place match,not applicable,0,1,0,0,1962-06-16,14:30,S-026,Estadio Nacional,Santiago,Chile,T-13,Chile,CHL,T-84,Yugoslavia,YUG,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0
176,WC-1966,1966 FIFA World Cup,M-1966-08,Italy v Chile,group stage,Group 4,1,0,0,0,1966-07-13,19:30,S-035,Roker Park,Sunderland,England,T-39,Italy,ITA,T-13,Chile,CHL,2–0,2,0,2,-2,0,0,0-0,0,0,home team win,1,0,0
180,WC-1966,1966 FIFA World Cup,M-1966-12,Chile v North Korea,group stage,Group 4,1,0,0,0,1966-07-15,19:30,S-033,Ayresome Park,Middlesbrough,England,T-13,Chile,CHL,T-49,North Korea,PRK,1–1,1,1,0,0,0,0,0-0,0,0,draw,0,0,1
192,WC-1966,1966 FIFA World Cup,M-1966-24,Soviet Union v Chile,group stage,Group 4,1,0,0,0,1966-07-20,19:30,S-035,Roker Park,Sunderland,England,T-70,Soviet Union,SUN,T-13,Chile,CHL,2–1,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0
234,WC-1974,1974 FIFA World Cup,M-1974-02,West Germany v Chile,group stage,Group 1,1,0,0,0,1974-06-14,16:00,S-053,Olympiastadion,Berlin,Germany,T-83,West Germany,DEU,T-13,Chile,CHL,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0
